assetClass,subClass,creditRating,supervisoryFactor,correlation,supervisoryOptionVolatility
IRD,,,0.005,0,0.5
FX,,,0.04,0,0.15
Credit,CreditSingle,AAA,0.0038,0.5,1
Credit,CreditSingle,AA,0.0038,0.5,1
Credit,CreditSingle,A,0.0042,0.5,1
Credit,CreditSingle,BBB,0.0054,0.5,1
Credit,CreditSingle,BB,0.0106,0.5,1
Credit,CreditSingle,B,0.016,0.5,1
Credit,CreditSingle,CCC,0.06,0.5,1
Credit,CreditIndex,IG,0.0038,0.8,0.8
Credit,CreditIndex,SG,0.0106,0.8,0.8
Equity,EQSingle,,0.32,0.5,1.2
Equity,EQIndex,,0.2,0.8,0.75
Commodity,Electricity, ,0.4,0.4,1.5
Commodity,Oil/Gas,,0.18,0.4,0.7
Commodity,Metals,,0.18,0.4,0.7
Commodity,Agricultural,,0.18,0.4,0.7
Commodity,Other,,0.18,0.4,0.7
OtherExposure,,,0.08,0,1.5